strategy_id,label,dna,n_params,robustness_score,eligible,n_profitable_assets,n_assets,total_trades,min_trades_per_asset,avg_profit_factor,avg_sharpe,cross_asset_sharpe_std,BTCUSD_daily_trades,BTCUSD_daily_return_pct,BTCUSD_daily_pf,BTCUSD_daily_sharpe,BTCUSD_hourly_trades,BTCUSD_hourly_return_pct,BTCUSD_hourly_pf,BTCUSD_hourly_sharpe,EURUSDX_daily_trades,EURUSDX_daily_return_pct,EURUSDX_daily_pf,EURUSDX_daily_sharpe,EURUSDX_hourly_trades,EURUSDX_hourly_return_pct,EURUSDX_hourly_pf,EURUSDX_hourly_sharpe,GLD_daily_trades,GLD_daily_return_pct,GLD_daily_pf,GLD_daily_sharpe,GLD_hourly_trades,GLD_hourly_return_pct,GLD_hourly_pf,GLD_hourly_sharpe,SPY_daily_trades,SPY_daily_return_pct,SPY_daily_pf,SPY_daily_sharpe,SPY_hourly_trades,SPY_hourly_return_pct,SPY_hourly_pf,SPY_hourly_sharpe,TNX_daily_trades,TNX_daily_return_pct,TNX_daily_pf,TNX_daily_sharpe,TNX_hourly_trades,TNX_hourly_return_pct,TNX_hourly_pf,TNX_hourly_sharpe
S0669534,SHORT: highest_high_10 + 3.0xATR(40)  |  filter=time_window_close  |  exit=ATR stop 3.0x / target 3.0x,highest_high_10|time_window_close|atr_stop_target|short,6,10.8,False,1,10,749,0,0.95,-0.24,0.52,0,0.0,,,310,7.8,1.05,0.28,0,0.0,,,226,-5.3,0.85,-0.75,0,0.0,,,90,-17.2,0.77,-0.8,0,0.0,,,68,-14.8,0.69,-0.94,0,0.0,,,55,-6.6,0.85,-0.38
S7285128,SHORT: highest_high_10 + 0.5xATR(20)  |  filter=time_window_close  |  exit=ATR stop 2.5x / target 1.5x,highest_high_10|time_window_close|atr_stop_target|short,6,10.5,False,1,10,2345,0,0.85,-0.92,0.92,0,0.0,,,959,-22.8,0.97,-0.35,0,0.0,,,585,3.7,1.06,0.46,0,0.0,,,279,-44.0,0.65,-2.2,0,0.0,,,274,-28.0,0.74,-1.5,0,0.0,,,248,-24.4,0.82,-1.0
S8206272,SHORT: prev_low + 1.0xATR(14)  |  filter=time_window_close  |  exit=EOD (close at end of session),prev_low|time_window_close|eod_exit|short,4,9.9,False,0,10,215,0,0.74,-0.9,0.0,0,0.0,,,145,-17.5,0.74,-0.9,0,0.0,,,50,-0.1,0.99,-0.02,0,0.0,,,8,-1.2,0.18,-1.42,0,0.0,,,10,-0.0,1.0,0.0,0,0.0,,,2,-0.8,0.27,-0.57
S9546024,SHORT: donchian_high20 + 2.5xATR(10)  |  filter=time_window_mid  |  exit=stop@POI / target 1.5xATR,donchian_high20|time_window_mid|poi_anchored_stop|short,5,9.9,False,1,10,1477,0,0.83,-0.73,0.82,0,0.0,,,604,-15.5,0.97,-0.2,0,0.0,,,457,0.3,1.01,0.06,0,0.0,,,139,-42.7,0.51,-2.21,0,0.0,,,137,-7.2,0.9,-0.32,0,0.0,,,140,-23.1,0.76,-0.97
S6110020,SHORT: lowest_low_10 + 0.5xATR(10)  |  filter=atr_contraction(0.8)  |  exit=stop@POI / target 1.5xATR,lowest_low_10|atr_contraction|poi_anchored_stop|short,5,9.8,False,3,10,237,1,0.0,0.0,0.0,21,-5.7,0.91,-0.06,75,-6.2,0.65,-1.17,4,-0.7,0.64,-0.08,31,-0.2,0.89,-0.22,1,0.9,999.0,,5,1.1,2.19,0.6,6,-5.4,0.0,-0.76,8,1.9,2.15,0.68,80,-14.4,0.54,-0.19,6,-0.2,0.82,-0.16
S9976933,SHORT: prev_high + 2.0xATR(30)  |  filter=atr_expansion(1.3)  |  exit=time(20 bars),prev_high|atr_expansion|time_exit|short,5,9.8,False,0,10,424,11,0.69,-1.13,0.0,33,-91.7,0.42,-0.47,127,-36.0,0.69,-1.13,11,-6.2,0.73,-0.09,64,-3.3,0.77,-0.5,23,-25.9,0.53,-0.24,20,-11.7,0.66,-0.52,33,-35.0,0.72,-0.12,17,-9.5,0.49,-0.81,84,-53.3,0.78,-0.09,12,-4.6,0.66,-0.41
S6251533,SHORT: donchian_low20 + 1.0xATR(14)  |  filter=time_window_close  |  exit=EOD (close at end of session),donchian_low20|time_window_close|eod_exit|short,4,9.7,False,3,10,79,0,0.0,0.0,0.0,0,0.0,,,57,-3.9,0.83,-0.37,0,0.0,,,16,-0.8,0.65,-0.35,0,0.0,,,2,0.3,999.0,16.99,0,0.0,,,3,0.9,3.36,0.58,0,0.0,,,1,0.3,999.0,
S9787937,SHORT: donchian_low20 + 1.5xATR(14)  |  filter=atr_expansion(1.3)  |  exit=EOD (close at end of session),donchian_low20|atr_expansion|eod_exit|short,4,9.7,False,3,10,123,0,0.0,0.0,0.0,5,-39.6,0.0,-1.42,25,-17.7,0.31,-1.16,0,0.0,,,13,1.2,1.9,0.58,2,5.3,999.0,0.98,7,-0.2,0.95,-0.04,12,-21.7,0.18,-0.37,7,2.2,1.83,0.5,48,-4.6,0.0,-0.17,4,-1.3,0.47,-0.5
S1245040,SHORT: lowest_low_10 + 3.0xATR(10)  |  exit=time(5 bars),lowest_low_10|none|time_exit|short,4,9.7,False,3,10,78,0,0.0,0.0,0.0,5,13.4,1.95,0.18,13,-6.5,0.41,-0.96,0,0.0,,,8,-0.6,0.25,-1.22,1,-1.5,0.0,,9,-2.1,0.3,-1.0,1,-2.3,0.0,,3,2.6,38.18,1.18,36,7.7,1.57,0.12,2,-0.2,0.09,-0.84
S2186283,LONG: hod_running + 1.0xATR(30)  |  filter=time_window_open  |  exit=EOD (close at end of session),hod_running|time_window_open|eod_exit|long,4,9.7,False,3,10,138,0,0.0,0.0,0.0,0,0.0,,,66,18.6,1.39,0.71,0,0.0,,,45,1.5,1.2,0.3,0,0.0,,,8,-2.5,0.14,-1.65,0,0.0,,,7,-0.7,0.38,-0.73,0,0.0,,,12,9.8,11.36,2.39
